Предмет,Текст цены
Биология ОГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6490 руб в месяц за 12 уроков по часу"
Биология ЕГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6490 руб в месяц за 16 уроков по часу"
Физика ОГЭ,"Один урок 700 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6490 рублей в месяц за 12 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
Физика ЕГЭ,"Один урок 800 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6490 рублей в месяц за 16 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
Физика ОГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6490 руб в месяц за 12 уроков по часу"
Физика ЕГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6490 руб в месяц за 16 уроков по часу"
Литература ОГЭ,"Один урок 700 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6490 рублей в месяц за 12 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
Литература ЕГЭ,"Один урок 800 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6990 рублей в месяц за 16 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
Литература ОГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6490 руб в месяц за 12 уроков по часу"
Литература ЕГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6990 руб в месяц за 16 уроков по часу"
Русский язык ОГЭ,"Один урок 700 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6490 рублей в месяц за 12 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
Русский язык ЕГЭ,"Один урок 800 р. Если берете сразу много занятий, то стоимость при самом дорогом варианте подготовки будет 6990 рублей в месяц за 12 уроков от 30 до 55 минут в зависимости от сложности темы и формата урока. Есть варианты подготовки дешевле."
Русский язык ОГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6490 руб в месяц за 12 уроков по часу"
Русский язык ЕГЭ ИНД занятия,"Стоимость 8800 рублей в месяц за 8 уроков по часу. А вообще у меня можно готовиться в разных форматах. Есть вариант подготовки в формате, где часть уроков проходят в формате вебинаров с разбором теории и заданий, часть индивидуально с закреплением пройденного. Так получается даже дешевле – 6990 руб в месяц за 12 уроков по часу"
"ЕГЭ 10 класс, ВСЕ ПРЕДМЕТЫ","Если берете сразу много уроков, то стоимость занятий для 10 класса - 5190 рублей в месяц. Всего 8 уроков в месяц"
